doy,julianDay,conso_potager,conso_paillage
08-15,227,6.67,1.666666667
08-16,228,6.67,1.666666667
08-17,229,6.67,1.666666667
08-18,230,6.67,1.666666667
08-19,231,6.67,1.666666667
08-20,232,6.67,1.666666667
08-21,233,6.67,1.666666667
08-22,234,6.67,1.666666667
08-23,235,6.67,1.666666667
08-24,236,6.67,1.666666667
08-25,237,6.67,1.666666667
08-26,238,6.67,1.666666667
08-27,239,6.67,1.666666667
08-28,240,6.67,1.666666667
08-29,241,6.67,1.666666667
08-30,242,6.67,1.666666667
08-31,243,6.67,1.666666667
09-01,244,3.33,0.8333333333
09-02,245,3.33,0.8333333333
09-03,246,3.33,0.8333333333
09-04,247,3.33,0.8333333333
09-05,248,3.33,0.8333333333
09-06,249,3.33,0.8333333333
09-07,250,3.33,0.8333333333
09-08,251,3.33,0.8333333333
09-09,252,3.33,0.8333333333
09-10,253,3.33,0.8333333333
09-11,254,3.33,0.8333333333
09-12,255,3.33,0.8333333333
09-13,256,3.33,0.8333333333
09-14,257,3.33,0.8333333333
09-15,258,3.33,0.8333333333
09-16,259,3.33,0.8333333333
09-17,260,3.33,0.8333333333
09-18,261,3.33,0.8333333333
09-19,262,3.33,0.8333333333
09-20,263,3.33,0.8333333333
09-21,264,3.33,0.8333333333
09-22,265,3.33,0.8333333333
09-23,266,3.33,0.8333333333
09-24,267,3.33,0.8333333333
09-25,268,3.33,0.8333333333
09-26,269,3.33,0.8333333333
09-27,270,3.33,0.8333333333
09-28,271,3.33,0.8333333333
09-29,272,3.33,0.8333333333
09-30,273,3.33,0.8333333333
10-01,274,0.00,0
10-02,275,0.00,0
10-03,276,0.00,0
10-04,277,0.00,0
10-05,278,0.00,0
10-06,279,0.00,0
10-07,280,0.00,0
10-08,281,0.00,0
10-09,282,0.00,0
10-10,283,0.00,0
10-11,284,0.00,0
10-12,285,0.00,0
10-13,286,0.00,0
10-14,287,0.00,0
10-15,288,0.00,0
10-16,289,0.00,0
10-17,290,0.00,0
10-18,291,0.00,0
10-19,292,0.00,0
10-20,293,0.00,0
10-21,294,0.00,0
10-22,295,0.00,0
10-23,296,0.00,0
10-24,297,0.00,0
10-25,298,0.00,0
10-26,299,0.00,0
10-27,300,0.00,0
10-28,301,0.00,0
10-29,302,0.00,0
10-30,303,0.00,0
10-31,304,0.00,0
11-01,305,0.00,0
11-02,306,0.00,0
11-03,307,0.00,0
11-04,308,0.00,0
11-05,309,0.00,0
11-06,310,0.00,0
11-07,311,0.00,0
11-08,312,0.00,0
11-09,313,0.00,0
11-10,314,0.00,0
11-11,315,0.00,0
11-12,316,0.00,0
11-13,317,0.00,0
11-14,318,0.00,0
11-15,319,0.00,0
11-16,320,0.00,0
11-17,321,0.00,0
11-18,322,0.00,0
11-19,323,0.00,0
11-20,324,0.00,0
11-21,325,0.00,0
11-22,326,0.00,0
11-23,327,0.00,0
11-24,328,0.00,0
11-25,329,0.00,0
11-26,330,0.00,0
11-27,331,0.00,0
11-28,332,0.00,0
11-29,333,0.00,0
11-30,334,0.00,0
12-01,335,0.00,0
12-02,336,0.00,0
12-03,337,0.00,0
12-04,338,0.00,0
12-05,339,0.00,0
12-06,340,0.00,0
12-07,341,0.00,0
12-08,342,0.00,0
12-09,343,0.00,0
12-10,344,0.00,0
12-11,345,0.00,0
12-12,346,0.00,0
12-13,347,0.00,0
12-14,348,0.00,0
12-15,349,0.00,0
12-16,350,0.00,0
12-17,351,0.00,0
12-18,352,0.00,0
12-19,353,0.00,0
12-20,354,0.00,0
12-21,355,0.00,0
12-22,356,0.00,0
12-23,357,0.00,0
12-24,358,0.00,0
12-25,359,0.00,0
12-26,360,0.00,0
12-27,361,0.00,0
12-28,362,0.00,0
12-29,363,0.00,0
12-30,364,0.00,0
12-31,365,0.00,0
